JobID,JobName,User,Partition,State,AllocCPUS,Elapsed,MaxRSS,TotalCPU,ReqMem
414311.0,python3,,,OUT_OF_MEMORY,80,00:39:37,74524.49M,02:55:01,1100Mc
414312,Q06S128P10DsCUMJS20,dgoncalves,cpu2,FAILED,80,00:41:08,,02:58:53,1100Mc
414312.batch,batch,,,FAILED,80,00:41:08,4.45M,00:00.359,1100Mc
414312.extern,extern,,,COMPLETED,80,00:41:08,0,00:00.001,1100Mc
414312.0,python3,,,CANCELLED,80,00:41:07,75010.62M,02:58:52,1100Mc
414313,Q06S128P20DsCUMJS20,dgoncalves,cpu2,OUT_OF_MEMORY,80,00:38:18,,02:53:33,1100Mc
414313.batch,batch,,,OUT_OF_MEMORY,80,00:38:18,4.44M,00:00.349,1100Mc
414313.extern,extern,,,OUT_OF_MEMORY,80,00:38:18,0,00:00.001,1100Mc
414313.0,python3,,,OUT_OF_MEMORY,80,00:38:16,81726.94M,02:53:32,1100Mc
414912,Q06S128P01DsCUMJS01,dgoncalves,cpu2,COMPLETED,80,00:55:58,,02:50:58,1100Mc
414912.batch,batch,,,COMPLETED,80,00:55:58,4.44M,00:00.358,1100Mc
414912.extern,extern,,,COMPLETED,80,00:55:58,0,00:00:00,1100Mc
414912.0,python3,,,COMPLETED,80,00:55:57,85777.52M,02:50:58,1100Mc
414980,Q06S128P01DsCBMJS128,dgoncalves,cpu2,COMPLETED,80,01:46:53,,02:04:13,1100Mc
414980.batch,batch,,,COMPLETED,80,01:46:53,4.44M,00:00.351,1100Mc
414980.extern,extern,,,COMPLETED,80,01:46:53,0,00:00.001,1100Mc
414980.0,python3,,,COMPLETED,80,01:46:52,9733.35M,02:04:12,1100Mc
415011,Q06S05P01SsCUSJS01,dgoncalves,hmem1,COMPLETED,80,00:00:27,,00:07.544,4700Mc
415011.batch,batch,,,COMPLETED,80,00:00:27,0,00:00.333,4700Mc
415011.extern,extern,,,COMPLETED,80,00:00:27,0,00:00:00,4700Mc
415011.0,python3,,,COMPLETED,80,00:00:26,0,00:07.209,4700Mc
415012,Q06S10P01SsCUSJS01,dgoncalves,hmem1,COMPLETED,80,00:00:19,,00:11.687,4700Mc
415012.batch,batch,,,COMPLETED,80,00:00:19,0,00:00.327,4700Mc
415012.extern,extern,,,COMPLETED,80,00:00:19,0,00:00.001,4700Mc
415012.0,python3,,,COMPLETED,80,00:00:18,0,00:11.358,4700Mc
415013,Q06S15P01SsCUSJS01,dgoncalves,hmem1,COMPLETED,80,00:00:22,,00:15.907,4700Mc
415013.batch,batch,,,COMPLETED,80,00:00:22,0,00:00.319,4700Mc
415013.extern,extern,,,COMPLETED,80,00:00:22,0,00:00.001,4700Mc
415013.0,python3,,,COMPLETED,80,00:00:21,0,00:15.586,4700Mc
415014,Q06S20P01SsCUSJS01,dgoncalves,hmem1,COMPLETED,80,00:00:27,,00:20.486,4700Mc
415014.batch,batch,,,COMPLETED,80,00:00:27,0,00:00.325,4700Mc
415014.extern,extern,,,COMPLETED,80,00:00:27,0,00:00:00,4700Mc
415014.0,python3,,,COMPLETED,80,00:00:25,0,00:20.159,4700Mc
415015,Q06S25P01SsCUSJS01,dgoncalves,hmem1,COMPLETED,80,00:00:59,,00:24.979,4700Mc
415015.batch,batch,,,COMPLETED,80,00:00:59,4.43M,00:00.324,4700Mc
415015.extern,extern,,,COMPLETED,80,00:00:59,0,00:00.001,4700Mc
415015.0,python3,,,COMPLETED,80,00:00:57,134.27M,00:24.654,4700Mc
415016,Q06S30P01SsCUSJS01,dgoncalves,hmem1,COMPLETED,80,00:01:03,,00:29.489,4700Mc
415016.batch,batch,,,COMPLETED,80,00:01:03,4.43M,00:00.412,4700Mc
415016.extern,extern,,,COMPLETED,80,00:01:03,0,00:00.001,4700Mc
415016.0,python3,,,COMPLETED,80,00:00:59,122.69M,00:29.076,4700Mc
415017,Q06S35P01SsCUSJS01,dgoncalves,hmem1,COMPLETED,80,00:00:52,,00:34.970,4700Mc
415017.batch,batch,,,COMPLETED,80,00:00:52,4.43M,00:00.350,4700Mc
415017.extern,extern,,,COMPLETED,80,00:00:52,0,00:00.001,4700Mc
415017.0,python3,,,COMPLETED,80,00:00:50,434.57M,00:34.619,4700Mc
415018,Q06S40P01SsCUSJS01,dgoncalves,hmem1,COMPLETED,80,00:00:56,,00:38.986,4700Mc
415018.batch,batch,,,COMPLETED,80,00:00:56,4.43M,00:00.341,4700Mc
415018.extern,extern,,,COMPLETED,80,00:00:56,0,00:00.001,4700Mc
415018.0,python3,,,COMPLETED,80,00:00:54,425.40M,00:38.644,4700Mc
415019,Q06S45P01SsCUSJS01,dgoncalves,hmem1,COMPLETED,80,00:00:48,,00:42.017,4700Mc
415019.batch,batch,,,COMPLETED,80,00:00:48,4.43M,00:00.328,4700Mc
415019.extern,extern,,,COMPLETED,80,00:00:48,0,00:00.001,4700Mc
415019.0,python3,,,COMPLETED,80,00:00:47,596.57M,00:41.688,4700Mc
415020,Q06S50P01SsCUSJS01,dgoncalves,hmem1,COMPLETED,80,00:00:53,,00:47.951,4700Mc
415020.batch,batch,,,COMPLETED,80,00:00:53,4.43M,00:00.333,4700Mc
415020.extern,extern,,,COMPLETED,80,00:00:53,0,00:00.001,4700Mc
415020.0,python3,,,COMPLETED,80,00:00:52,645.27M,00:47.617,4700Mc
415021,Q06S55P01SsCUSJS01,dgoncalves,hmem1,COMPLETED,80,00:00:59,,00:52.341,4700Mc
415021.batch,batch,,,COMPLETED,80,00:00:59,4.43M,00:00.337,4700Mc
415021.extern,extern,,,COMPLETED,80,00:00:59,0,00:00.001,4700Mc
415021.0,python3,,,COMPLETED,80,00:00:57,649.26M,00:52.003,4700Mc
415022,Q06S60P01SsCUSJS01,dgoncalves,hmem1,COMPLETED,80,00:01:27,,00:57.064,4700Mc
415022.batch,batch,,,COMPLETED,80,00:01:27,4.43M,00:00.373,4700Mc
415022.extern,extern,,,COMPLETED,80,00:01:27,0,00:00:00,4700Mc
415022.0,python3,,,COMPLETED,80,00:01:24,746.32M,00:56.689,4700Mc
415023,Q06S65P01SsCUSJS01,dgoncalves,hmem1,COMPLETED,80,00:01:08,,01:02.035,4700Mc
415023.batch,batch,,,COMPLETED,80,00:01:08,4.43M,00:00.322,4700Mc
415023.extern,extern,,,COMPLETED,80,00:01:08,0,00:00.001,4700Mc
415023.0,python3,,,COMPLETED,80,00:01:06,937.86M,01:01.712,4700Mc
415024,Q06S70P01SsCUSJS01,dgoncalves,hmem1,COMPLETED,80,00:01:10,,01:03.612,4700Mc
415024.batch,batch,,,COMPLETED,80,00:01:10,4.43M,00:00.330,4700Mc
