CMDLINE /opt/miniconda3/envs/tese_tester/bin/python ./QuantumWalk/main.py 6 20 1 2 1 2 10000 aer_simulator_statevector 0 80 CPU double 5 0 1 None
MEM 0.156250 1689089231.0743
MEM 32.593750 1689089231.1796
MEM 48.937500 1689089231.2820
MEM 64.562500 1689089231.3860
MEM 72.234375 1689089231.4912
MEM 85.093750 1689089231.5932
MEM 99.375000 1689089231.6984
MEM 112.562500 1689089231.8016
MEM 126.437500 1689089231.9068
MEM 134.578125 1689089232.0087
MEM 149.218750 1689089232.1092
MEM 161.625000 1689089232.2136
MEM 169.062500 1689089232.3187
MEM 183.671875 1689089232.4204
MEM 189.375000 1689089232.5256
MEM 193.562500 1689089232.6291
MEM 195.578125 1689089232.7343
MEM 197.078125 1689089232.8394
MEM 199.343750 1689089232.9402
MEM 201.781250 1689089233.0454
MEM 203.312500 1689089233.1505
MEM 205.734375 1689089233.2556
MEM 208.312500 1689089233.3564
MEM 210.984375 1689089233.4568
MEM 212.343750 1689089233.5574
MEM 215.171875 1689089233.6625
MEM 217.921875 1689089233.7646
MEM 220.625000 1689089233.8649
MEM 221.625000 1689089233.9675
MEM 224.515625 1689089234.0727
MEM 227.296875 1689089234.1744
MEM 230.218750 1689089234.2795
MEM 233.359375 1689089234.3847
MEM 233.843750 1689089234.4856
MEM 237.062500 1689089234.5896
MEM 242.546875 1689089234.6948
MEM 248.250000 1689089234.7986
MEM 249.703125 1689089234.9037
MEM 249.718750 1689089235.0089
MEM 249.796875 1689089235.1140
MEM 254.171875 1689089235.2145
MEM 260.062500 1689089235.3197
MEM 260.953125 1689089235.4215
MEM 264.359375 1689089235.5240
MEM 265.703125 1689089235.6279
MEM 266.546875 1689089235.7290
MEM 266.593750 1689089235.8298
MEM 266.687500 1689089235.9350
MEM 269.390625 1689089236.0352
MEM 270.234375 1689089236.1358
MEM 273.265625 1689089236.2363
MEM 278.625000 1689089236.3390
MEM 284.328125 1689089236.4442
MEM 285.468750 1689089236.5462
MEM 285.468750 1689089236.6467
MEM 285.468750 1689089236.7506
MEM 285.671875 1689089236.8558
MEM 285.687500 1689089236.9579
MEM 285.687500 1689089237.0605
MEM 285.703125 1689089237.1635
MEM 285.703125 1689089237.2638
MEM 288.578125 1689089237.3685
MEM 292.703125 1689089237.4690
MEM 294.640625 1689089237.5742
MEM 296.250000 1689089237.6760
MEM 302.328125 1689089237.7804
MEM 307.578125 1689089237.8830
MEM 308.046875 1689089237.9833
MEM 308.109375 1689089238.0884
MEM 309.687500 1689089238.1936
MEM 309.687500 1689089238.2947
MEM 309.687500 1689089238.3998
MEM 309.687500 1689089238.5029
MEM 309.687500 1689089238.6081
MEM 309.687500 1689089238.7132
MEM 309.687500 1689089238.8183
MEM 309.687500 1689089238.9235
MEM 311.390625 1689089239.0256
MEM 315.062500 1689089239.1275
MEM 319.500000 1689089239.2295
MEM 324.609375 1689089239.3336
